tmp_free,cold_start,agent_memory_avg,function_error,billed_mb_ms,total_network,billed_duration,init_duration,fd_use,tmp_max,used_memory_max,shutdown,agent_memory_max,total_memory,request_id,memory_size,cpu_system_time,insights_duration,version,duration,memory_used,rx_bytes,insight_init_duration,shutdown_reason,tmp_used,tx_bytes,function_name,cpu_user_time,threads_max,fd_max,memory_utilisation,payload
538320896,False,11,,58519296,15770,25399,,21,550461440,2207,0,11,2304,30411a7c-d5fb-46a2-a2e1-08215fd769fd,2304,840,25398,RAM2304,25399,2207,7821,0,0,12140544,7949,workbench-matmul,28210,10,1024,95,{'n': 8610}
538320896,False,10,,10825088,17850,3677,,21,550461440,675,0,10,2944,1ef29be1-ca74-4262-8e1f-2a3e40b11316,,200,3676,RAM2944,,,7515,0,0,12140544,10335,workbench-matmul,5660,10,1024,22,{'n': 4710}
538320896,False,10,,2772224,18330,1274,,21,550461440,593,0,10,2176,92771004-8469-44f1-86f7-9c9dd7bf9bda,,70,1273,RAM2176,,,7875,0,0,12140544,10455,workbench-matmul,1290,10,1024,27,{'n': 3010}
538316800,False,10,,4745216,0,4634,,21,550461440,1025,1,10,1024,985593ff-0508-4a4c-9451-d3f8b2619ac7,,420,4633,RAM1024,,,0,0,failure,12144640,0,workbench-matmul,710,9,1024,100,{'n': 8110}
538324992,True,8,,68096,84,38,,22,550461440,121,0,9,1792,c1d4096b-17b7-46f2-825f-c02b0301ae66,,70,37,RAM1792,,,42,1247,0,12136448,42,workbench-matmul,60,10,1024,6,{'n': 610}
,,,,,,,,,,,,,,376fcc83-2289-479a-b634-2e6788026c8c,,,,,,,,,,,,,,,,,{'n': 4810}
,,,,,,,,,,,,,,7b721e69-b211-44cc-b132-89a2a6e4bc99,,,,,,,,,,,,,,,,,{'n': 7710}
538320896,False,10,,14612224,15450,5189,,21,550461440,1132,0,10,2816,04df18f4-9cfb-4165-b4cf-fad6177e6381,,230,5188,RAM2816,,,7557,0,0,12140544,7893,workbench-matmul,7710,10,1024,40,{'n': 5210}
538320896,False,10,,16896,3720,6,,22,550461440,551,0,10,2816,f39d4e66-39c7-4e9b-9e52-7fc2d3663cbf,,0,5,RAM2816,,,384,0,0,12140544,3336,workbench-matmul,10,10,1024,19,{'n': 310}
538320896,False,11,,1470336,3558,547,,21,550461440,679,0,11,2688,bc29e777-e5b7-4028-aa20-caa00b5f0f72,,100,546,RAM2688,,,222,0,0,12140544,3336,workbench-matmul,730,10,1024,25,{'n': 2310}
538320896,False,11,,72497920,15764,29810,,22,550461440,1996,0,11,2432,5c08a188-f3cf-4acb-994c-da39ee4c6030,,1720,29809,RAM2432,,,7821,0,0,12140544,7943,workbench-matmul,38570,9,1024,82,{'n': 9010}
538320896,False,10,,1115520,3234,581,,21,550461440,632,0,10,1920,ef993ca3-19ea-4663-8010-0a813bee3088,,20,580,RAM1920,,,66,0,0,12140544,3168,workbench-matmul,570,10,1024,32,{'n': 2110}
538320896,False,10,,43008,12940,21,,21,550461440,210,0,10,2048,ce8b7faf-859e-4901-9d7e-ec78b84a636d,,10,20,RAM2048,,,6916,0,0,12140544,6024,workbench-matmul,30,10,1024,10,{'n': 610}
538320896,False,10,,1450496,14994,2833,,21,550461440,512,1,10,512,353d1f98-d231-445c-a639-063d97920cd1,,170,2832,RAM512,,,7507,0,failure,12140544,7487,workbench-matmul,450,9,1024,100,{'n': 6210}
538320896,False,11,,61525632,15968,20454,,21,550461440,1837,0,11,3008,123124d3-5df8-4eef-bf9c-d09d621a155c,,1540,20453,RAM3008,,,7917,0,0,12140544,8051,workbench-matmul,32159,10,1024,61,{'n': 8510}
