agent_memory_avg,insights_duration,threads_max,used_memory_max,shutdown_reason,memory_size,request_id,start_time,tmp_free,cpu_user_time,version,agent_memory_max,init_duration,memory_utilisation,tmp_used,billed_mb_ms,shutdown,cold_start,function_name,tx_bytes,duration,rx_bytes,payload,insight_init_duration,fd_max,cpu_system_time,memory_used,total_memory,billed_duration,total_network,tmp_max,fd_use
11,3474,10,74,0,2048,94c69157-ee9c-414f-b301-29f5746f7ab2,1723088204491,538320896,3500,RAM2048,11,,3,12140544,7116800,0,False,workbench-pyaes,7797,3475,7821,"{'length_of_message': 610, 'num_of_iterations': 610}",0,1024,60,74,2048,3475,15618,550461440,21
11,66,10,71,0,1152,40317951-676d-4ff4-9f10-f12788eae3ea,1723088127851,538320896,50,RAM1152,11,,6,12140544,77184,0,False,workbench-pyaes,4411,67,66,"{'length_of_message': 60, 'num_of_iterations': 60}",0,1024,0,71,1152,67,4477,550461440,21
11,2417,10,73,0,2304,dfd205a9-b585-450d-95da-877affead7c1,1723088195833,538320896,2430,RAM2304,11,,3,12140544,5571072,0,False,workbench-pyaes,7827,2418,7779,"{'length_of_message': 560, 'num_of_iterations': 560}",0,1024,20,73,2304,2418,15606,550461440,21
10,7623,10,71,0,128,d6626f30-2393-4c76-87d8-e520d3ff84be,1723088139350,538320896,500,RAM128,11,,55,12140544,975872,0,False,workbench-pyaes,11806,7624,16077,"{'length_of_message': 210, 'num_of_iterations': 210}",0,1024,0,71,128,7624,27883,550461440,22
9,1297,10,70,0,384,2491fbbb-dbf1-49dd-b5f1-0f1b14a5dff0,1723088124976,538324992,250,RAM384,9,416,18,12136448,498432,0,True,workbench-pyaes,42,1298,42,"{'length_of_message': 160, 'num_of_iterations': 160}",416,1024,40,70,384,1298,84,550461440,22
11,1982,10,74,0,1152,25d0c966-96ae-4670-9e01-c3a467d955f9,1723088171203,538320896,1290,RAM1152,11,,6,12140544,2284416,0,False,workbench-pyaes,3202,1983,496,"{'length_of_message': 360, 'num_of_iterations': 360}",0,1024,30,74,1152,1983,3698,550461440,21
9,3092,10,70,0,768,56fd7d78-c899-48d2-b9f6-80ad81a7aaca,1723088127005,538324992,1320,RAM768,9,494,9,12136448,2375424,0,True,workbench-pyaes,42,3093,42,"{'length_of_message': 360, 'num_of_iterations': 360}",494,1024,90,70,768,3093,84,550461440,22
11,1995,10,72,0,2688,e7d832d0-8f18-4357-a517-3141b631403b,1723088141376,538320896,2000,RAM2688,11,,2,12140544,5365248,0,False,workbench-pyaes,0,1996,0,"{'length_of_message': 460, 'num_of_iterations': 460}",0,1024,30,72,2688,1996,0,550461440,21
,,,,,1920,789ffa0a-ac87-4bee-8f58-fa8e5bdf1a0c,1723088260027,,,,,,,,,,,,,3425,,"{'length_of_message': 610, 'num_of_iterations': 610}",,,,74,,,,,
9,18,10,70,0,512,ffa5e51d-35b7-4635-b847-281f5e7bdd28,1723088127511,538324992,10,RAM512,9,,13,12136448,9728,0,False,workbench-pyaes,0,19,0,"{'length_of_message': 10, 'num_of_iterations': 10}",0,1024,20,70,512,19,0,550461440,22
