version,total_memory,tmp_max,cpu_user_time,fd_use,tmp_used,rx_bytes,request_id,payload,insights_duration,shutdown,duration,threads_max,init_duration,agent_memory_max,agent_memory_avg,total_network,billed_duration,function_error,cold_start,insight_init_duration,billed_mb_ms,fd_max,memory_used,memory_size,memory_utilisation,shutdown_reason,cpu_system_time,start_time,tmp_free,function_name,tx_bytes,used_memory_max
RAM2688,2688,550461440,2210,21,12140544,718,8216b6ea-af16-4855-885f-7baf5fb3704c,{'n': 3410},1592,0,1593,11,,11,11,7953,1593,,False,0,4281984,1024,531,2688,19,0,100,1722318946124,538320896,workbench-matmul,7235,531
RAM2944,2944,550461440,2430,21,12140544,0,16588a69-24e4-4b91-a04b-0ac4150dd45b,{'n': 3710},1735,0,1736,10,,11,11,0,1736,,False,0,5110784,1024,616,2944,20,0,80,1722318976176,538320896,workbench-matmul,0,616
RAM512,512,550461440,410,21,12140544,222,4d64abfa-ff30-4e89-a741-aa74f89504ce,{'n': 6810},9215,1,9216,9,,10,10,300,9216,Runtime exited with error: signal: killed,False,0,4718592,1024,513,512,100,failure,480,1722319031912,538320896,workbench-matmul,78,513
RAM1664,1664,550461440,2280,21,12140544,496,cfd66822-5c57-4d53-bfce-f35babc50be0,{'n': 3410},2573,0,2574,10,,10,10,3707,2574,,False,0,4283136,1024,498,1664,29,0,120,1722318961887,538320896,workbench-matmul,3211,498
RAM1024,1024,550461440,830,21,12140544,7623,cfb76978-61e1-4a10-81fd-df6d887d4879,{'n': 9510},4799,1,4800,10,,10,10,15330,4800,Runtime exited with error: signal: killed,False,0,4915200,1024,1025,1024,100,failure,1540,1722319007803,538320896,workbench-matmul,7707,1025
RAM512,512,550461440,450,21,12140544,222,137ab3ea-c885-45c6-90e2-5d3e79e14dcc,{'n': 6510},8931,1,8932,9,,9,8,300,8932,Runtime exited with error: signal: killed,False,0,4573184,1024,513,512,100,failure,310,1722319065393,538320896,workbench-matmul,78,513
RAM2176,2176,550461440,3570,21,12140544,496,d8856519-eb11-4aff-ad9a-79226ded6f9d,{'n': 4010},3201,0,3202,10,,10,10,4988,3202,,False,0,6967552,1024,634,2176,29,0,140,1722318958221,538320896,workbench-matmul,4492,634
RAM512,512,550461440,680,22,12136448,42,003e3285-5368-48bd-8961-3c1a2da43311,{'n': 2210},2909,0,2910,10,1288,9,9,84,2910,,True,1288,1489920,1024,232,512,45,0,170,1722318918035,538324992,workbench-matmul,42,232
RAM384,384,550461440,590,22,12136448,42,6598ba66-7fe7-4d5a-ae52-f58819a66b96,{'n': 2110},3504,0,3505,9,1260,9,9,84,3505,,True,1260,1345920,1024,220,384,57,0,170,1722318918528,538324992,workbench-matmul,42,220
RAM384,384,550461440,320,21,12140544,222,b9f7390c-8771-4d95-a3a8-b795f511490c,{'n': 7610},10922,1,10923,10,,10,9,300,10923,Runtime exited with error: signal: killed,False,0,4194432,1024,384,384,100,failure,580,1722318987689,538320896,workbench-matmul,78,384
